Date,Open,High,Low,Close,Adj Close,Volume
2025-09-29,247.85,251.15,242.77,244.05,243.89,32505800
2025-09-30,242.81,243.29,239.25,243.1,242.94,34724300
2025-10-01,240.75,246.3,238.61,244.9,244.74,31658200
2025-10-02,245.15,246.81,242.3,245.69,245.53,25483300
2025-10-03,244.49,246.3,241.66,245.35,245.19,30249600
2025-10-06,244.78,251.32,244.58,250.43,250.27,28894700
2025-10-07,248.27,250.44,245.52,245.76,245.6,23181300
2025-10-08,244.96,246.01,243.82,244.62,244.46,21307100
2025-10-09,244.47,244.76,239.15,241.53,241.37,27892100
2025-10-10,241.43,244.09,235.84,236.57,236.42,33180300
2025-10-13,240.21,244.5,239.71,244.15,243.99,24995000
2025-10-14,241.23,247.12,240.51,245.45,245.29,22111600
2025-10-15,247.25,252.11,245.99,251.03,250.87,27007700
2025-10-16,251.77,256.96,250.1,251.46,251.3,27997200
2025-10-17,250.76,254.22,247.81,253.3,253.13,29671600
2025-10-20,254.69,257.33,254.23,256.55,256.38,22350200
2025-10-21,254.74,254.88,244.15,250.46,250.3,47312100
2025-10-22,254.37,256.36,249.29,251.69,251.53,35029400
2025-10-23,252.98,255.04,251.85,253.08,252.91,19901400
2025-10-24,256.58,261.68,255.32,259.92,259.75,28655100
2025-10-27,264.82,270.14,264.28,269.27,269.09,35235200
2025-10-28,269.69,270.73,266.5,267.47,267.3,29738600
2025-10-29,267.75,275.34,267.67,274.57,274.39,43580300
2025-10-30,291.59,291.59,280.06,281.48,281.3,74876000
2025-10-31,283.21,286.0,277.03,281.19,281.01,39267900
2025-11-03,282.18,285.53,279.8,283.72,283.53,29786000
2025-11-04,276.75,281.27,276.26,277.54,277.36,30078400
2025-11-05,278.87,286.42,277.34,284.31,284.12,31010300
2025-11-06,285.33,288.35,281.14,284.75,284.56,37173600
2025-11-07,283.21,283.78,275.19,278.83,278.65,34479600
2025-11-10,284.42,290.8,282.86,290.1,289.91,29557300
2025-11-11,287.75,291.92,287.32,291.31,291.12,19842100
2025-11-12,291.68,292.01,283.69,286.71,286.52,24829900
2025-11-13,282.34,282.84,277.24,278.57,278.39,29494000
2025-11-14,271.41,278.56,270.7,276.41,276.23,31647200
2025-11-17,285.78,293.95,283.57,285.02,284.83,52670200
2025-11-18,287.92,288.8,278.2,284.28,284.09,49158700
2025-11-19,287.16,303.81,286.63,292.81,292.62,68198900
2025-11-20,304.54,306.42,288.67,289.45,289.26,62025200
2025-11-21,296.42,303.92,293.85,299.66,299.46,74137700
2025-11-24,311.13,319.48,309.6,318.58,318.37,85165100
2025-11-25,326.21,328.83,317.65,323.44,323.23,88632100
2025-11-26,320.68,324.5,316.79,319.95,319.74,51373400
2025-11-28,323.37,326.85,316.79,320.18,319.97,26018600
2025-12-01,317.7,319.85,313.89,314.89,314.68,41183000
2025-12-02,316.74,318.38,313.91,315.81,315.6,35854700
2025-12-03,315.89,321.58,314.1,319.63,319.42,41838300
2025-12-04,322.23,322.36,314.7,317.62,317.41,31240900
2025-12-05,319.49,323.16,319.17,321.27,321.06,28851700
2025-12-08,320.05,320.44,311.22,313.72,313.72,33909400
2025-12-09,312.37,317.99,311.9,317.08,317.08,30194000
2025-12-10,315.83,321.31,314.68,320.21,320.21,33428900
2025-12-11,320.08,321.12,308.6,312.43,312.43,42353700
2025-12-12,313.72,314.85,305.56,309.29,309.29,33928185
