분야,검색어,회사명,직무명,Gen_AI 언급수,Foundation 언급수,Gen_AI 툴,Foundation 툴,링크
디자인,웹 디자인 UI/UX,(주)스너그스튜디오,"[UI/UX 디자이너] 모바일, 웹 서비스 (3년 이상)",0,1,,R,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52543070&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)위브랜드,[8호선 문정역] 헬스케어 브랜드 인하우스 패키지/웹 디자이너,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52442905&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)더존비즈온,디자인 역량을 갖춘 서비스 기획자(웹/모바일) 경력직 채용공고,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52468669&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)맑음,UX/UI 웹 디자이너를 채용합니다,0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52422736&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,스타샤인엔터테인먼트 주식회사,웹/앱 UI/UX 디자인너 정규직 모집,0,2,,"Figma, Photoshop",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52078313&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)미리디,[미리캔버스] UX 리서처,0,2,,"R, 데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52324922&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)미리디,[미리캔버스] 그래픽 디자이너(템플릿 디자이너),2,4,"생성형 AI, 생성형","R, Illustrator, Photoshop, 데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52129855&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,샵리스트코리아 유한회사,[메디쿼터스 자회사 / 샵리스트] 웹디자이너,0,3,,"R, Illustrator, 포토샵",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52461197&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,에스비아이코스머니(주),"[외국계/핀테크] 하반기 각 부문별 채용 (영어CS, 중국영업, 태국영업, 네팔영업, 국가별 주말 영업, 안드로이드 개발자, 회계)",0,3,,"R, React, Java",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52146078&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
디자인,웹 디자인 UI/UX,(주)미래바이텍,"[MEDINESS] 디자이너(웹,그래픽) 신입/경력직 채용",0,0,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52528978&location=ts&searchword=%EC%9B%B9+%EB%94%94%EC%9E%90%EC%9D%B8+UI%2FUX&searchType=search&paid_fl=n&search_uuid=6bb90d57-e6f3-43e4-aa52-86ce1fa45909
