organization,title,category,keywords
(주)모두의연구소,20년 차 현업 PO가 직접 알려주는 PM/PO를 위한 챗GPT 활용법,AI서비스,"챗GPT, 업무생산성, 시장조사, 사업계획서, 경쟁사분석, 페르소나, 사용자여정설계"
모두의연구소,"프롬프트 엔지니어링 A to Z : “챗 GPT 대답, 2% 부족할 때“",AI서비스,"챗GPT, 챗GPT활용, 프롬프트엔지니어링, 챗GPT활용콘텐츠만들기"
모두의연구소,Microsoft MVP 김태영 대표의 챗GPT API활용법부터 나만의 챗봇 개발까지,AI서비스,"chatgpt, 프롬프트엔지니어링, openAI, LMS, API, 그라디오, 랭체인, 챗봇, 사용자테스트"
(주)모두의연구소,상위 1% 일잘러를 위한 고급 프롬프트 엔지니어링,AI/ML,"LLM, 프롬포트엔지니어링, GPTs"
모두의연구소,딥러닝으로 시작하는 컴퓨터 비젼 : 모델 구현과 태스크 해결까지,AI/ML,"컴퓨터비전, CNN, TransferLearning, ObjectDetection, Segmentation"
모두의연구소,비개발자도 챗GPT로 손쉽게 챗봇 서비스 만들기,AI서비스,"bing, canva, 랭체인, videostew, MSBingCreator, Gradio, Lasco, Vrew, Midjourney, ChatGPT"
프로그래머스,데이터 분석 데브코스 9기,데이터분석,"Excel, SQL, Python, Pandas, ML, NLP, ChatGPT, Kaggle, A/B테스트, 데이터시각화"
코드잇 스프린트,AI 기반 데이터 분석가 트랙 13기,데이터분석,"Python, Numpy, Matplotlib, pandas, Tableau, EDA기법, 머신러닝, SQL, 데이터엔지니어링"
패스트캠퍼스,인공지능(AI) 부트캠프 (w. Upstage) 24기,데이터사이언스,"머신러닝, 딥러닝, 자연어처리, 컴퓨터비전, 모델링, LLM, LangChain, MLOps"
콜로소,쉽게 배우는 프롬프트 엔지니어링 기법 12가지와 GPTs 수익화,AI서비스,"챗GPT, 프롬프트엔지니어링, 플레이그라운드활용, API연결, GPT수익화"
코드잇 스프린트,딥러닝 모델 기반 AI 엔지니어 트랙 8기,AI/ML,"Python, Pandas, Numpy, Matplotlib, Seaborn, PyTorch, Git, Docker, FastAPI, LLM"
LG전자,LG전자 DX SCHOOL 5기,AI서비스,"Python, HTML/CSS/JavaScript, Database, HIVE, Tableau, 머신러닝, 딥러닝, 자연어처리, MLOps"
애드인에듀 IT 아카데미,대기업 엔지니어와 함께하는 생성형AI 활용 서비스 개발 프로젝트 44일 과정 7기,AI서비스,"딥러닝, 자연어처리, 생성모델, 파이썬, FastAPI, 서비스기획, 크롤링, 모델학습, 생성형AI서비스"
